candidate_id,candidate_digest,model_id,workload_id,workload_type,software_state,seq_len,batch_size,output_tokens,status,evidence_level,estimate_cycles,latency,throughput,capacity_status,topology_status,prefill_result_digest,decode_result_digest,request_formula,uncertainty_low,uncertainty_high,result_digest
cand-004b4ae3a9125d83,004b4ae3a9125d8376fa2a2b1f470402345b7d9b54dfb08e0589244c2e3438ed,deepseek_v3,request__deepseek_v3__b64__g512,request,naive,2304,64,512,analytical_infeasible_projection,resource_explicit_analytical_extrapolation,6330321246312.289,12660.642492624578,2.5881782870884242,capacity_infeasible_projection,capacity_feasible,a9db65ffd5725042f5e471428dafb9096fb5b52b63aa97a3c6230d7d58b3c803,5bf843972a55155c8c7343cad4df525f21c567d083cfa2ed6ac5ea20dfc4b816,prefill_cycles + 512 * steady_decode_cycles,3481676685471.7593,9178965807152.818,437072ea647b68791c907834678eb5dad6b930096f9211b909008cf1db0dbf71
cand-004b4ae3a9125d83,004b4ae3a9125d8376fa2a2b1f470402345b7d9b54dfb08e0589244c2e3438ed,deepseek_v3,request__deepseek_v3__b512__g512,request,naive,2304,512,512,analytical_infeasible_projection,resource_explicit_analytical_extrapolation,11527114073807.219,23054.228147614438,11.370755868360122,capacity_infeasible_projection,capacity_feasible,a9db65ffd5725042f5e471428dafb9096fb5b52b63aa97a3c6230d7d58b3c803,fb306413dd735636ceabd319b3195aefdb1012604ba38283acac364557c4aa12,prefill_cycles + 512 * steady_decode_cycles,6339912740593.971,16714315407020.467,cc3ae501866ebf095a33a6ef5686a53ba9720e45dfdef8563fdcc93a8b174c9d
cand-004b4ae3a9125d83,004b4ae3a9125d8376fa2a2b1f470402345b7d9b54dfb08e0589244c2e3438ed,deepseek_v3,request__deepseek_v3__b64__g512,request,sw_opt,2304,64,512,analytical_infeasible_projection,resource_explicit_analytical_extrapolation,6329743907334.682,12659.487814669363,2.5884143560713104,capacity_infeasible_projection,capacity_feasible,6fb9ecd890c4637f4bc44eccc77a49ab29353236d87c67635ef0da8957947e53,d62be5b951be453b96409c1640ff22dfc673c4765ac604b390353497d32b7a66,prefill_cycles + 512 * steady_decode_cycles,3481359149034.0747,9178128665635.29,1c59e9083ee3d7497d7e3df06fbf5721e8e1747e08ac4458866b154ccf53ab70
cand-004b4ae3a9125d83,004b4ae3a9125d8376fa2a2b1f470402345b7d9b54dfb08e0589244c2e3438ed,deepseek_v3,request__deepseek_v3__b512__g512,request,sw_opt,2304,512,512,analytical_infeasible_projection,resource_explicit_analytical_extrapolation,10974224144902.705,21948.44828980541,11.943623373218614,capacity_infeasible_projection,capacity_feasible,6fb9ecd890c4637f4bc44eccc77a49ab29353236d87c67635ef0da8957947e53,3b42b0931d15c12de66e69fd713a878e8ceeadf5b565a3091c54751055acfd05,prefill_cycles + 512 * steady_decode_cycles,6035823279696.488,15912625010108.922,061880f6c9ca8824b4986d4189f2dccd7d43d71ad0f2f26c800cd5359ce753dc
cand-004b4ae3a9125d83,004b4ae3a9125d8376fa2a2b1f470402345b7d9b54dfb08e0589244c2e3438ed,gpt3_175b,request__gpt3_175b__b64__g512,request,naive,2304,64,512,analytical_infeasible_projection,resource_explicit_analytical_extrapolation,46000414443239.83,92000.82888647966,0.3561707040752059,capacity_infeasible_projection,capacity_feasible,bf524d9ff91f566a59669ade0948bdd8efffb9511164429970ec492f9b3d2483,66fd0b8af718528820b8e9c74cd694e803b21d2f303c54a25224120132a6ca07,prefill_cycles + 512 * steady_decode_cycles,25301542568702.824,66699286317776.83,115f2c6d0d6430b176ca0f43d439b9345e5b847a4d50ee1b12615bc14cdb8116
cand-004b4ae3a9125d83,004b4ae3a9125d8376fa2a2b1f470402345b7d9b54dfb08e0589244c2e3438ed,gpt3_175b,request__gpt3_175b__b512__g512,request,naive,2304,512,512,analytical_infeasible_projection,resource_explicit_analytical_extrapolation,357922890617780.06,715845.7812355601,0.366201780986312,capacity_infeasible_projection,capacity_feasible,bf524d9ff91f566a59669ade0948bdd8efffb9511164429970ec492f9b3d2483,07bef9083b8d4f3b831e97bceb8d4a482e38384d6b6c55aac986e7d5b778643e,prefill_cycles + 512 * steady_decode_cycles,196858904464699.97,518986876770860.1,d01676696f3b5433703cb8b28dcdc53d7b53a706f16cddf240a91535552be7dd
cand-004b4ae3a9125d83,004b4ae3a9125d8376fa2a2b1f470402345b7d9b54dfb08e0589244c2e3438ed,gpt3_175b,request__gpt3_175b__b64__g512,request,sw_opt,2304,64,512,analytical_infeasible_projection,resource_explicit_analytical_extrapolation,45998529380011.16,91997.05876002231,0.35618530028744205,capacity_infeasible_projection,capacity_feasible,97c285ac734618b0b8ee5f3315a269395423972ec2d4dc0bbf504d09a6162ea9,1616b03025198c3a938ed85dfa520f070a781e3e736e16b3d4fe99496f70ba63,prefill_cycles + 512 * steady_decode_cycles,25300317277604.184,66696741482418.125,b0a2fe62366fc58506fc0505a15530577a32168feadac652ed0412aa7b8eb8ce
cand-004b4ae3a9125d83,004b4ae3a9125d8376fa2a2b1f470402345b7d9b54dfb08e0589244c2e3438ed,gpt3_175b,request__gpt3_175b__b512__g512,request,sw_opt,2304,512,512,analytical_infeasible_projection,resource_explicit_analytical_extrapolation,357726395104939.25,715452.7902098785,0.36640293194341994,capacity_infeasible_projection,capacity_feasible,97c285ac734618b0b8ee5f3315a269395423972ec2d4dc0bbf504d09a6162ea9,e0d55ac33713af1da31b77ed2de0325089d2e21bf610f6c606bc9589fce20622,prefill_cycles + 512 * steady_decode_cycles,196750643426314.66,518702146783563.8,cb44a3b29e79af7584315e879d5704cdba9a144c9f65afe3cac64982662dd8a3
cand-004b4ae3a9125d83,004b4ae3a9125d8376fa2a2b1f470402345b7d9b54dfb08e0589244c2e3438ed,llama2_7b,request__llama2_7b__b64__g512,request,naive,2304,64,512,analytical_infeasible_projection,resource_explicit_analytical_extrapolation,5004358408317.856,10008.716816635713,3.273946161163794,capacity_infeasible_projection,capacity_feasible,1b03b7a634bf3ca6fdde97373dcf25694d3466de55a97a61a8d59d17b5bfb32b,12057933e8f053ef56388e9bccb30eaa0eba4df2a6207efa10baaa3ca04eff23,prefill_cycles + 512 * steady_decode_cycles,2752448890231.3525,7256267926404.36,357d1312647a7c3ed4081791e3d8f16b648d89ab5bc1574bec1dae62c4b85d71
cand-004b4ae3a9125d83,004b4ae3a9125d8376fa2a2b1f470402345b7d9b54dfb08e0589244c2e3438ed,llama2_7b,request__llama2_7b__b512__g512,request,naive,2304,512,512,analytical_infeasible_projection,resource_explicit_analytical_extrapolation,39653276643863.78,79306.55328772757,3.3054519347087292,capacity_infeasible_projection,capacity_feasible,1b03b7a634bf3ca6fdde97373dcf25694d3466de55a97a61a8d59d17b5bfb32b,881454f7f84c86e1b10e4d166170155182a8764cb0a9958f049c1587c6b95d2b,prefill_cycles + 512 * steady_decode_cycles,21809353919781.613,57497199367945.95,315ccc997b7eca2af6237f2f982c862e457fb21ae672ba171b747c0d3f65db2f
